id,name,slug,icon,tool_count
cat-ai-code-assistant,AI Code Assistant,ai-code-assistant,,1109
cat-ai-agent,AI Agent,ai-agent,,281
cat-ai-tool,AI Tool,ai-tool,,275
cat-ai-open-source,AI Open Source,ai-open-source,,208
cat-ai-art-generator,AI Art Generator,ai-art-generator,,183
cat-ai-chatbot,AI Chatbot,ai-chatbot,,163
cat-ai-writing,AI Writing,ai-writing,,138
cat-ai-image-generator,AI Image Generator,ai-image-generator,,125
cat-ai-llm,AI LLM,ai-llm,,104
cat-ai-video-generator,AI Video Generator,ai-video-generator,,85
cat-ai-voice-generator,AI Voice Generator,ai-voice-generator,,80
cat-ai-newsletter-generator,AI Newsletter Generator,ai-newsletter-generator,,66
cat-ai-assistant,AI Assistant,ai-assistant,,62
cat-ai-data-analysis,AI Data Analysis,ai-data-analysis,,60
cat-ai-forms,AI Forms,ai-forms,,47
cat-ai-meeting-assistant,AI Meeting Assistant,ai-meeting-assistant,,46
cat-ai-model,AI Model,ai-model,,46
cat-ai-search-engine,AI Search Engine,ai-search-engine,,45
cat-ai-browsers,AI Browsers,ai-browsers,,45
cat-ai-trip-planner,AI Trip Planner,ai-trip-planner,,45
cat-ai-code-review,AI Code Review,ai-code-review,,44
cat-ai-character,AI Character,ai-character,,43
cat-ai-presentation-generator,AI Presentation Generator,ai-presentation-generator,,43
cat-ai-email-assistant,AI Email Assistant,ai-email-assistant,,43
cat-ai-marketing,AI Marketing,ai-marketing,,43
cat-ai-notes-generator,AI Notes Generator,ai-notes-generator,,42
cat-long-video-to-short-video-ai,Long Video To Short Video AI,long-video-to-short-video-ai,,42
cat-ai-tiktok,AI Tiktok,ai-tiktok,,42
cat-ai-sales,AI Sales,ai-sales,,42
cat-ai-dating-assistant,AI Dating Assistant,ai-dating-assistant,,41
cat-ai-productivity-tools,AI Productivity Tools,ai-productivity-tools,,41
cat-ai-resume-builder,AI Resume Builder,ai-resume-builder,,41
cat-ai-document-extraction,AI Document Extraction,ai-document-extraction,,41
cat-ai-clothing-generator,AI Clothing Generator,ai-clothing-generator,,41
cat-ai-app-builder,AI App Builder,ai-app-builder,,41
cat-ai-web-scraping,AI Web Scraping,ai-web-scraping,,40
cat-ai-landing-page-builder,AI Landing Page Builder,ai-landing-page-builder,,40
cat-ai-music-generator,AI Music Generator,ai-music-generator,,40
cat-other,Other,other,,40
cat-ai-calendar,AI Calendar,ai-calendar,,39
cat-ai-course,AI Course,ai-course,,39
cat-ai-for-finance,AI For Finance,ai-for-finance,,39
cat-ai-copilot,AI Copilot,ai-copilot,,38
cat-ai-resume-checker,AI Resume Checker,ai-resume-checker,,38
cat-ai-photography,AI Photography,ai-photography,,38
cat-ai-developer-tools,AI Developer Tools,ai-developer-tools,,38
cat-ai-testing,AI Testing,ai-testing,,38
cat-ai-sports,AI Sports,ai-sports,,38
cat-ai-shopping-assistant,AI Shopping Assistant,ai-shopping-assistant,,38
cat-ai-recipe,AI Recipe,ai-recipe,,38
cat-ai-search,AI Search,ai-search,,38
cat-ai-pdf-summarizer,AI PDF Summarizer,ai-pdf-summarizer,,37
cat-ai-documents-generator,AI Documents Generator,ai-documents-generator,,37
cat-ai-3d-model-generator,AI 3D Model Generator,ai-3d-model-generator,,37
cat-ai-video-summarizer,AI Video Summarizer,ai-video-summarizer,,37
cat-ai-grammar-checker,AI Grammar Checker,ai-grammar-checker,,37
cat-ai-therapist,AI Therapist,ai-therapist,,37
cat-ai-girlfriend,AI Girlfriend,ai-girlfriend,,36
cat-ai-jobs,AI Jobs,ai-jobs,,36
cat-ai-diagram-generator,AI Diagram Generator,ai-diagram-generator,,36
cat-ai-tattoo-generator,AI Tattoo Generator,ai-tattoo-generator,,36
cat-ai-job-description-generator,AI Job Description Generator,ai-job-description-generator,,36
cat-ai-voice-assistants,AI Voice Assistants,ai-voice-assistants,,36
cat-ai-machine-learning,AI Machine Learning,ai-machine-learning,,36
cat-ai-charting,AI Charting,ai-charting,,35
cat-ai-avatar-video-generator,AI Avatar Video Generator,ai-avatar-video-generator,,35
cat-ai-prompt-generator,AI Prompt Generator,ai-prompt-generator,,35
cat-ai-reader,AI Reader,ai-reader,,35
cat-ai-real-estate,AI Real Estate,ai-real-estate,,35
cat-ai-files,AI Files,ai-files,,34
cat-ai-name-generator,AI Name Generator,ai-name-generator,,34
cat-ai-language-learning,AI Language Learning,ai-language-learning,,34
cat-ai-fitness,AI Fitness,ai-fitness,,34
cat-ai-product-photography,AI Product Photography,ai-product-photography,,33
